Fecha,Nombre_hospital,Institucion,Estatus_capacidad_hospitalaria,Estatus_capacidad_UCI,Coordenadas
2020-05-30,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Media,Buena,"19.454776,-99.140007"
2020-05-30,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Media,Crítica,"19.307964,-99.130677"
2020-05-30,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA (AZC),IMSS,Crítica,Media,"19.467169,-99.143785"
2020-05-30,HOSPITAL GENERAL DE ZONA 47 (CDMX SUR) (IZP),IMSS,Media,Buena,"19.357566,-99.054269"
2020-05-30,HOSPITAL GENERAL DE ZONA 197,IMSS,Media,Buena,"19.515133,-98.89145"
2020-05-30,HOSPITAL GENERAL DE ZONA 194,IMSS,Crítica,Media,"19.4703,-99.234208"
2020-05-30,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Media,Buena,"19.259803,-98.893368"
2020-05-30,CENTRO MEDICO 20 DE NOVIEMBRE,ISSSTE,Crítica,Crítica,"19.37272,-99.171205"
2020-05-30,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,Media,Media,"19.594136,-99.018679"
2020-05-30,"HOSPITAL GENERAL DE NEZAHUALCOYOTL ""GUSTAVO BAZ PRADA""",EDOMEX,Media,Media,"19.422253,-99.014892"
2020-05-30,"HOSPITAL GENERAL AMECAMECA ""VALENTIN GOMEZ FARIAS""",EDOMEX,Buena,Buena,"19.144883,-98.785072"
2020-05-31,INSTITUTO NACIONAL DE NUTRICIÓN,SSA,Crítica,Crítica,"19.289599,-99.155441"
2020-05-31,HOSPITAL JUAREZ,SSA,Media,Media,"19.481829,-99.135576"
2020-05-31,CITIBANAMEX,SSA,Buena,Crítica,"19.439732,-99.224235"
2020-05-31,BELISARIO DOMINGUEZ,SEDESA,Crítica,Buena,"19.307226,-99.065356"
2020-05-31,HOSPITAL GENERAL VILLA,SEDESA,Media,Buena,"19.480079,-99.103353"
2020-05-31,HOSPITAL GENERAL DR. RUBÉN LEÑERO,SEDESA,Crítica,Buena,"19.451398,-99.169565"
2020-05-31,HOSPITAL GENERAL BALBUENA,SEDESA,Media,Buena,"19.424195,-99.115412"
2020-05-31,HOSPITAL DE ESPECIALIDADES 01 CMN SIGLO XXI (CDMX SUR),IMSS,Buena,Media,"19.466549,-99.145102"
2020-05-31,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Crítica,Media,"19.374431,-99.151203"
2020-05-31,HOSPITAL DE INFECTOLOGIA 01 LA RAZA (CDMX NORTE),IMSS,Media,Media,"19.464865,-99.144859"
2020-05-31,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA (COY.),IMSS,Media,Crítica,"19.309194,-99.129593"
2020-05-31,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-05-31,HOSPITAL GENERAL REGIONAL 196,IMSS,Crítica,Buena,"19.529016,-99.030983"
2020-05-31,HOSPITAL GENERAL DE ZONA 194,IMSS,Media,Media,"19.4703,-99.234208"
2020-05-31,HOSPITAL GENERAL DE ZONA 57 (LA QUEBRADA),IMSS,Crítica,Crítica,"19.597387,-99.188426"
2020-05-31,HOSPITAL GENERAL DE ZONA 68 (TULPETLAC),IMSS,Media,Media,"19.57007,-99.044009"
2020-05-31,HG DR FERNANDO QUIROZ,ISSSTE,Media,Media,"19.394242,-99.194187"
2020-05-31,ALTA ESPECIALIDAD DE ZUMPANGO,EDOMEX,Crítica,Crítica,"19.815198,-99.089196"
2020-05-31,"HOSPITAL GENERAL DE ECATEPEC ""JOSÉ MARÍA RODRÍGUEZ""",EDOMEX,Buena,Buena,"19.514412,-99.038087"
2020-06-01,HOSPITAL JUAREZ,SSA,Crítica,Media,"19.481829,-99.135576"
2020-06-01,HOSPITAL GENERAL DR. MANUEL GEA GONZÁLEZ,SSA,Crítica,Media,"19.290295,-99.160861"
2020-06-01,INSTITUTO  NACIONAL DE CARDIOLOGÍA IGNACIO CHÁVEZ,SSA,Crítica,Media,"19.290598,-99.153838"
2020-06-01,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE IXTAPALUCA,SSA,Media,Crítica,"19.318796,-98.855353"
2020-06-01,BELISARIO DOMINGUEZ,SEDESA,Crítica,Buena,"19.307226,-99.065356"
2020-06-01,HOSPITAL GENERAL AJUSCO MEDIO,SEDESA,Media,Media,"19.272165,-99.207846"
2020-06-01,HOSPITAL GENERAL DR. RUBÉN LEÑERO,SEDESA,Crítica,Buena,"19.451398,-99.169565"
2020-06-01,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Media,Media,"19.374431,-99.151203"
2020-06-01,HOSPITAL DE INFECTOLOGIA 01 LA RAZA (CDMX NORTE),IMSS,Media,Media,"19.464865,-99.144859"
2020-06-01,HOSPITAL GENERAL 01 (CDMX NORTE) LA RAZA,IMSS,Media,Media,"19.39574,-99.161677"
2020-06-01,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Media,Crítica,"19.307964,-99.130677"
2020-06-01,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA (AZC),IMSS,Media,Media,"19.467169,-99.143785"
2020-06-01,HOSPITAL GENERAL REGIONAL 196,IMSS,Crítica,Buena,"19.529016,-99.030983"
2020-06-01,HOSPITAL GENERAL REGIONAL 200,IMSS,Media,Media,"19.742905,-98.972971"
2020-06-01,HOSPITAL GENERAL DE ZONA 197,IMSS,Media,Buena,"19.515133,-98.89145"
2020-06-01,HOSPITAL GENERAL DE ZONA 58 (LAS MARGARITAS),IMSS,Media,Crítica,"19.530797,-99.222446"
2020-06-01,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Media,Buena,"19.259803,-98.893368"
2020-06-01,HOSPITAL GENERAL DE ZONA 76 (XALOSTOC),IMSS,Media,Buena,"19.526677,-99.082058"
2020-06-01,HOSPITAL GENERAL DE ZONA 98 (COACALCO),IMSS,Crítica,Media,"19.638165,-99.098892"
2020-06-01,CENTRO MEDICO 20 DE NOVIEMBRE,ISSSTE,Media,Crítica,"19.37272,-99.171205"
2020-06-01,HG TACUBA,ISSSTE,Crítica,Media,"19.454384,-99.191231"
2020-06-01,HG DR FERNANDO QUIROZ,ISSSTE,Media,Buena,"19.394242,-99.194187"
2020-06-01,HG IGNACIO ZARAGOZA,ISSSTE,Crítica,Crítica,"19.389472,-99.045019"
2020-06-01,HR PRIMERO DE OCTUBRE,ISSSTE,Crítica,Media,"19.486751,-99.133249"
2020-06-01,HR LIC. ADOLFO LÓPEZ MATEOS,ISSSTE,Media,Buena,"19.358451,-99.172716"
2020-06-01,ALTA ESPECIALIDAD DE ZUMPANGO,EDOMEX,Media,Crítica,"19.815198,-99.089196"
2020-06-01,HOSPITAL REGIONAL TLALNEPANTLA ISSEMYM,EDOMEX,Media,Buena,"19.521706,-99.187341"
2020-06-01,HOSPITAL GENERAL DE CHIMALHUACAN,EDOMEX,Media,Buena,"19.419753,-98.97514"
2020-06-01,"HOSPITAL GENERAL VALLE DE CHALCO ""DR. FERNANDO QUIROZ GUTIERREZ""",EDOMEX,Buena,Buena,"19.273775,-98.941609"
2020-06-01,HOSPITAL GENERAL DE AXAPUSCO,EDOMEX,Crítica,Media,"19.732872,-98.769445"
2020-06-02,INER,SSA,Crítica,Media,"19.291375,-99.158653"
2020-06-02,HOSPITAL GENERAL DE MÉXICO,SSA,Media,Media,"19.4129258,-99.1520225"
2020-06-02,HOSPITAL JUAREZ,SSA,Crítica,Media,"19.481829,-99.135576"
2020-06-02,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE IXTAPALUCA,SSA,Media,Crítica,"19.318796,-98.855353"
2020-06-02,HOSPITAL GENERAL DR. RUBÉN LEÑERO,SEDESA,Crítica,Buena,"19.451398,-99.169565"
2020-06-02,HOSPITAL GENERAL MILPA ALTA,SEDESA,Media,Crítica,"19.200951,-99.01121"
2020-06-02,HOSPITAL GENERAL BALBUENA,SEDESA,Media,Buena,"19.424195,-99.115412"
2020-06-02,HOSPITAL DE INFECTOLOGIA 01 LA RAZA (CDMX NORTE),IMSS,Media,Media,"19.464865,-99.144859"
2020-06-02,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Buena,"19.405495,-99.1122"
2020-06-02,HOSPITAL GENERAL DE ZONA 30 (CDMX SUR),IMSS,Media,Media,"19.398836,-99.116913"
2020-06-02,HOSPITAL GENERAL DE ZONA C/MF 08 (CDMX SUR),IMSS,Crítica,Media,"19.337137,-99.200142"
2020-06-02,HOSPITAL GENERAL DE ZONA C/MF 29 (S. JUAN ARAGÓN),IMSS,Media,Buena,"19.465117,-99.085162"
2020-06-02,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-06-02,HOSPITAL GENERAL REGIONAL 200,IMSS,Media,Buena,"19.742905,-98.972971"
2020-06-02,HOSPITAL GENERAL DE ZONA 53,IMSS,Crítica,Media,"19.356913,-98.990929"
2020-06-02,HOSPITAL GENERAL DE ZONA 194,IMSS,Media,Media,"19.4703,-99.234208"
2020-06-02,HOSPITAL GENERAL DE ZONA 58 (LAS MARGARITAS),IMSS,Media,Crítica,"19.530797,-99.222446"
2020-06-02,HOSPITAL GENERAL DE ZONA 68 (TULPETLAC),IMSS,Media,Media,"19.57007,-99.044009"
2020-06-02,HOSPITAL GENERAL DE ZONA 98 (COACALCO),IMSS,Crítica,Crítica,"19.638165,-99.098892"
2020-06-02,CENTRO MEDICO 20 DE NOVIEMBRE,ISSSTE,Media,Crítica,"19.37272,-99.171205"
2020-06-02,HG DR FERNANDO QUIROZ,ISSSTE,Media,Buena,"19.394242,-99.194187"
2020-06-02,HR LIC. ADOLFO LÓPEZ MATEOS,ISSSTE,Media,Buena,"19.358451,-99.172716"
2020-06-02,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,Buena,Buena,"19.594136,-99.018679"
2020-06-02,"HOSPITAL GENERAL DE ECATEPEC ""JOSÉ MARÍA RODRÍGUEZ""",EDOMEX,Buena,Buena,"19.514412,-99.038087"
2020-06-03,INSTITUTO NACIONAL DE NUTRICIÓN,SSA,Crítica,Crítica,"19.289599,-99.155441"
2020-06-03,INER,SSA,Crítica,Media,"19.291375,-99.158653"
2020-06-03,BELISARIO DOMINGUEZ,SEDESA,Crítica,Buena,"19.307226,-99.065356"
2020-06-03,HOSPITAL GENERAL IZTAPALAPA,SEDESA,Buena,Buena,"19.343426,-99.027236"
2020-06-03,HOSPITAL GENERAL XOCO,SEDESA,Crítica,Buena,"19.360313,-99.162275"
2020-06-03,HOSPITAL GENERAL DR. RUBÉN LEÑERO,SEDESA,Crítica,Buena,"19.451398,-99.169565"
2020-06-03,HOSPITAL TEPEPAN,SEDESA,,,"19.275806,-99.144298"
2020-06-03,HOSPITAL DE ESPECIALIDADES 01 CMN SIGLO XXI (CDMX SUR),IMSS,Buena,Media,"19.466549,-99.145102"
2020-06-03,HOSPITAL DE PEDIATRIA 01 CMN SIGLO XXI (CDMX SUR),IMSS,Buena,Buena,"19.407458,-99.152267"
2020-06-03,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Crítica,Media,"19.374431,-99.151203"
2020-06-03,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Crítica,Crítica,"19.307964,-99.130677"
2020-06-03,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA (AZC),IMSS,Media,Media,"19.467169,-99.143785"
2020-06-03,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-06-03,HOSPITAL GENERAL REGIONAL 200,IMSS,Media,Media,"19.742905,-98.972971"
2020-06-03,HOSPITAL GENERAL DE ZONA 197,IMSS,Media,Buena,"19.515133,-98.89145"
2020-06-03,CENTRO MEDICO 20 DE NOVIEMBRE,ISSSTE,Media,Crítica,"19.37272,-99.171205"
2020-06-03,HG DARIO FERNANDEZ FIERRO,ISSSTE,Media,Media,"19.363602,-99.188608"
2020-06-03,HG IGNACIO ZARAGOZA,ISSSTE,Crítica,Crítica,"19.389472,-99.045019"
2020-06-03,HR PRIMERO DE OCTUBRE,ISSSTE,Crítica,Media,"19.486751,-99.133249"
2020-06-03,ALTA ESPECIALIDAD DE ZUMPANGO,EDOMEX,Crítica,Crítica,"19.815198,-99.089196"
2020-06-03,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,Media,Buena,"19.594136,-99.018679"
2020-06-03,"HOSPITAL GENERAL CUAUTITLAN ""GRAL. JOSE VICENTE VILLADA""",EDOMEX,Crítica,Media,"19.664586,-99.178557"
2020-06-04,HOSPITAL JUAREZ,SSA,Crítica,Media,"19.481829,-99.135576"
2020-06-04,HOSPITAL GENERAL DR. MANUEL GEA GONZÁLEZ,SSA,Crítica,Media,"19.290295,-99.160861"
2020-06-04,CITIBANAMEX,SSA,Buena,Crítica,"19.439732,-99.224235"
2020-06-04,BELISARIO DOMINGUEZ,SEDESA,Media,Buena,"19.307226,-99.065356"
2020-06-04,ENRIQUE CABRERA,SEDESA,Media,Buena,"19.361675,-99.224432"
2020-06-04,GENERAL TLAHUAC,SEDESA,Buena,Buena,"19.287492,-99.052665"
2020-06-04,PEDIATRICO DE LA VILLA,SEDESA,Buena,Buena,"19.487355,-99.114316"
2020-06-04,HOSPITAL GENERAL VILLA,SEDESA,Media,Buena,"19.480079,-99.103353"
2020-06-04,HOSPITAL GENERAL MILPA ALTA,SEDESA,Media,Buena,"19.200951,-99.01121"
2020-06-04,HOSPITAL TEPEPAN,SEDESA,Sin dato,Sin Dato,"19.275806,-99.144298"
2020-06-04,HOSPITAL DE ESPECIALIDADES 01 CMN SIGLO XXI (CDMX SUR),IMSS,Buena,Media,"19.466549,-99.145102"
2020-06-04,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Crítica,Crítica,"19.374431,-99.151203"
2020-06-04,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Buena,"19.405495,-99.1122"
2020-06-04,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Media,Crítica,"19.307964,-99.130677"
2020-06-04,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-06-04,HOSPITAL GENERAL DE ZONA 194,IMSS,Media,Media,"19.4703,-99.234208"
2020-06-04,HOSPITAL GENERAL DE ZONA 58 (LAS MARGARITAS),IMSS,Crítica,Crítica,"19.530797,-99.222446"
2020-06-04,HOSPITAL GENERAL DE ZONA 68 (TULPETLAC),IMSS,Media,Media,"19.57007,-99.044009"
2020-06-04,HOSPITAL GENERAL DE ZONA 76 (XALOSTOC),IMSS,Media,Media,"19.526677,-99.082058"
2020-06-04,HOSPITAL GENERAL DE ZONA 98 (COACALCO),IMSS,Crítica,Media,"19.638165,-99.098892"
2020-06-04,CENTRO MEDICO 20 DE NOVIEMBRE,ISSSTE,Media,Crítica,"19.37272,-99.171205"
2020-06-04,HG DARIO FERNANDEZ FIERRO,ISSSTE,Media,Media,"19.363602,-99.188608"
2020-06-04,HG TACUBA,ISSSTE,Crítica,Media,"19.454384,-99.191231"
2020-06-04,HG IGNACIO ZARAGOZA,ISSSTE,Crítica,Crítica,"19.389472,-99.045019"
2020-06-04,"HOSPITAL GENERAL DE NAUCALPAN ""DR. MAXIMILIANO RUIZ CASTAÑEDA""",EDOMEX,Media,Media,"19.468662,-99.234348"
2020-06-04,"HOSPITAL GENERAL NEZAHUALCOYOTL ""LA PERLA""",EDOMEX,Buena,Media,"19.387963,-98.989442"
2020-06-04,"HOSPITAL GENERAL AMECAMECA ""VALENTIN GOMEZ FARIAS""",EDOMEX,Buena,Buena,"19.144883,-98.785072"
2020-06-05,INSTITUTO  NACIONAL DE CARDIOLOGÍA IGNACIO CHÁVEZ,SSA,Crítica,Media,"19.290598,-99.153838"
2020-06-05,GENERAL TLAHUAC,SEDESA,Buena,Buena,"19.287492,-99.052665"
2020-06-05,HOSPITAL GENERAL VILLA,SEDESA,Media,Buena,"19.480079,-99.103353"
2020-06-05,HOSPITAL GENERAL MILPA ALTA,SEDESA,Media,Buena,"19.200951,-99.01121"
2020-06-05,HOSPITAL DE INFECTOLOGIA 01 LA RAZA (CDMX NORTE),IMSS,Media,Media,"19.464865,-99.144859"
2020-06-05,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-06-05,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Media,Buena,"19.259803,-98.893368"
2020-06-05,HG JOSE MARIA MORELOS,ISSSTE,Media,Crítica,"19.363918,-98.995393"
2020-06-05,HG TACUBA,ISSSTE,Media,Media,"19.454384,-99.191231"
2020-06-05,HR LIC. ADOLFO LÓPEZ MATEOS,ISSSTE,Media,Buena,"19.358451,-99.172716"
2020-06-05,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,Buena,Buena,"19.594136,-99.018679"
2020-06-05,"HOSPITAL GENERAL DE NEZAHUALCOYOTL ""GUSTAVO BAZ PRADA""",EDOMEX,Media,Crítica,"19.422253,-99.014892"
2020-06-05,"HOSPITAL GENERAL DE ECATEPEC ""JOSÉ MARÍA RODRÍGUEZ""",EDOMEX,Buena,Buena,"19.514412,-99.038087"
2020-06-05,"HOSPITAL GENERAL DE IXTAPALUCA ""PEDRO LOPEZ""",EDOMEX,Buena,Buena,"19.318829,-98.855366"
2020-06-05,HOSPITAL GENERAL DE CHALCO,EDOMEX,Buena,Buena,"19.268265,-98.893965"
2020-06-05,"HOSPITAL GENERAL TEXCOCO ""GUADALUPE VICTORIA"" BICENTENARIO",EDOMEX,Media,Crítica,"19.514309,-98.87175"
2020-06-06,INER,SSA,Crítica,Media,"19.291375,-99.158653"
2020-06-06,CITIBANAMEX,SSA,Buena,Crítica,"19.439732,-99.224235"
2020-06-06,HOSPITAL GENERAL XOCO,SEDESA,Crítica,Buena,"19.360313,-99.162275"
2020-06-06,HOSPITAL GENERAL MILPA ALTA,SEDESA,Media,Buena,"19.200951,-99.01121"
2020-06-06,HOSPITAL GENERAL DE ZONA 01 CARLOS MC GREGOR (CDMX SUR),IMSS,Crítica,Media,"19.395912,-99.16161"
2020-06-06,HOSPITAL GENERAL 01 (CDMX NORTE) LA RAZA,IMSS,Media,Media,"19.39574,-99.161677"
2020-06-06,HOSPITAL GENERAL DE ZONA 24 (CDMX NORTE),IMSS,Media,Media,"19.483221,-99.128448"
2020-06-06,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Buena,"19.405495,-99.1122"
2020-06-06,HOSPITAL GENERAL DE ZONA C/UMAA 48 (CDMX NORTE),IMSS,Media,Crítica,"19.482375,-99.213046"
2020-06-06,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA (AZC),IMSS,Crítica,Media,"19.467169,-99.143785"
2020-06-06,HOSPITAL GENERAL DE ZONA C/MF 29 (S. JUAN ARAGÓN),IMSS,Media,Buena,"19.465117,-99.085162"
2020-06-06,HOSPITAL GENERAL DE ZONA 194,IMSS,Crítica,Buena,"19.4703,-99.234208"
2020-06-06,HOSPITAL GENERAL DE ZONA 58 (LAS MARGARITAS),IMSS,Crítica,Crítica,"19.530797,-99.222446"
2020-06-06,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Crítica,Media,"19.259803,-98.893368"
2020-06-06,HG DR FERNANDO QUIROZ,ISSSTE,Media,Buena,"19.394242,-99.194187"
2020-06-06,ALTA ESPECIALIDAD DE ZUMPANGO,EDOMEX,Crítica,Crítica,"19.815198,-99.089196"
2020-06-06,"HOSPITAL GENERAL DE NAUCALPAN ""DR. MAXIMILIANO RUIZ CASTAÑEDA""",EDOMEX,Media,Media,"19.468662,-99.234348"
2020-06-06,"HOSPITAL GENERAL DE ECATEPEC ""JOSÉ MARÍA RODRÍGUEZ""",EDOMEX,Buena,Buena,"19.514412,-99.038087"
2020-06-06,"HOSPITAL GENERAL NEZAHUALCOYOTL ""LA PERLA""",EDOMEX,Buena,Buena,"19.387963,-98.989442"
2020-06-06,HOSPITAL GENERAL DE CHIMALHUACAN,EDOMEX,Media,Media,"19.419753,-98.97514"
2020-06-06,"HOSPITAL GENERAL DE IXTAPALUCA ""PEDRO LOPEZ""",EDOMEX,Buena,Buena,"19.318829,-98.855366"
2020-06-06,HOSPITAL GENERAL DE CHALCO,EDOMEX,Buena,Buena,"19.268265,-98.893965"
2020-06-06,HOSPITAL GENERAL DE AXAPUSCO,EDOMEX,Crítica,Buena,"19.732872,-98.769445"
2020-06-07,HOSPITAL JUAREZ,SSA,Crítica,Media,"19.481829,-99.135576"
2020-06-07,HOSPITAL GENERAL DR. MANUEL GEA GONZÁLEZ,SSA,Crítica,Media,"19.290295,-99.160861"
2020-06-07,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE IXTAPALUCA,SSA,Media,Crítica,"19.318796,-98.855353"
2020-06-07,HOSPITAL GENERAL XOCO,SEDESA,Crítica,Buena,"19.360313,-99.162275"
2020-06-07,HOSPITAL GENERAL VILLA,SEDESA,Media,Buena,"19.480079,-99.103353"
2020-06-07,HOSPITAL GENERAL DR. RUBÉN LEÑERO,SEDESA,Media,Buena,"19.451398,-99.169565"
2020-06-07,HOSPITAL GENERAL MILPA ALTA,SEDESA,Media,Media,"19.200951,-99.01121"
2020-06-07,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Crítica,Crítica,"19.374431,-99.151203"
2020-06-07,HOSPITAL GENERAL 01 (CDMX NORTE) LA RAZA,IMSS,Media,Media,"19.39574,-99.161677"
2020-06-07,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA (AZC),IMSS,Crítica,Media,"19.467169,-99.143785"
2020-06-07,HOSPITAL GENERAL REGIONAL 196,IMSS,Crítica,Buena,"19.529016,-99.030983"
2020-06-07,HOSPITAL GENERAL DE ZONA 53,IMSS,Crítica,Media,"19.356913,-98.990929"
2020-06-07,HOSPITAL GENERAL DE ZONA 197,IMSS,Media,Buena,"19.515133,-98.89145"
2020-06-07,HG DARIO FERNANDEZ FIERRO,ISSSTE,Media,Media,"19.363602,-99.188608"
2020-06-07,HR PRIMERO DE OCTUBRE,ISSSTE,Crítica,Media,"19.486751,-99.133249"
2020-06-07,HR BICENTENARIO DE LA INDEPENDENCIA,ISSSTE,Crítica,Media,"19.628814,-99.163343"
2020-06-07,"HOSPITAL GENERAL DE NAUCALPAN ""DR. MAXIMILIANO RUIZ CASTAÑEDA""",EDOMEX,Media,Media,"19.468662,-99.234348"
2020-06-07,"HOSPITAL GENERAL ATIZAPAN DE ZARAGOZA ""DR. SALVADOR GONZALEZ HERREJÓN""",EDOMEX,Buena,Crítica,"19.546322,-99.237491"
2020-06-07,"HOSPITAL GENERAL CUAUTITLAN ""GRAL. JOSE VICENTE VILLADA""",EDOMEX,Media,Media,"19.664586,-99.178557"
2020-06-07,"HOSPITAL GENERAL DE ECATEPEC ""JOSÉ MARÍA RODRÍGUEZ""",EDOMEX,Buena,Buena,"19.514412,-99.038087"
2020-06-07,"HOSPITAL GENERAL NEZAHUALCOYOTL ""LA PERLA""",EDOMEX,Buena,Buena,"19.387963,-98.989442"
2020-06-07,HOSPITAL GENERAL DE CHIMALHUACAN,EDOMEX,Media,Media,"19.419753,-98.97514"
2020-06-07,HOSPITAL GENERAL DE AXAPUSCO,EDOMEX,Crítica,Crítica,"19.732872,-98.769445"
2020-06-08,HOSPITAL GENERAL DE MÉXICO,SSA,Media,Media,"19.4129258,-99.1520225"
2020-06-08,HOSPITAL JUAREZ,SSA,Crítica,Media,"19.481829,-99.135576"
2020-06-08,ENRIQUE CABRERA,SEDESA,Media,Buena,"19.361675,-99.224432"
2020-06-08,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Media,Media,"19.374431,-99.151203"
2020-06-08,HOSPITAL DE INFECTOLOGIA 01 LA RAZA (CDMX NORTE),IMSS,Media,Media,"19.464865,-99.144859"
2020-06-08,HOSPITAL GENERAL 01 (CDMX NORTE) LA RAZA,IMSS,Media,Media,"19.39574,-99.161677"
2020-06-08,HOSPITAL GENERAL DE ZONA 24 (CDMX NORTE),IMSS,Media,Buena,"19.483221,-99.128448"
2020-06-08,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Media,Buena,"19.454776,-99.140007"
2020-06-08,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Buena,"19.405495,-99.1122"
2020-06-08,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Media,Crítica,"19.307964,-99.130677"
2020-06-08,HOSPITAL GENERAL DE ZONA C/UMAA 48 (CDMX NORTE),IMSS,Media,Crítica,"19.482375,-99.213046"
2020-06-08,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA (COY.),IMSS,Media,Crítica,"19.309194,-99.129593"
2020-06-08,UNIDAD MÓVIL TEMPORAL COVID,IMSS,Crítica,Buena,"19.403082,-99.089177"
2020-06-08,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-06-08,HOSPITAL GENERAL REGIONAL 196,IMSS,Crítica,Media,"19.529016,-99.030983"
2020-06-08,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Media,Buena,"19.259803,-98.893368"
2020-06-08,HOSPITAL GENERAL DE ZONA 76 (XALOSTOC),IMSS,Media,Media,"19.526677,-99.082058"
2020-06-08,CENTRO MEDICO 20 DE NOVIEMBRE,ISSSTE,Crítica,Crítica,"19.37272,-99.171205"
2020-06-08,HG TACUBA,ISSSTE,Media,Buena,"19.454384,-99.191231"
2020-06-08,HG DR FERNANDO QUIROZ,ISSSTE,Media,Buena,"19.394242,-99.194187"
2020-06-08,HR PRIMERO DE OCTUBRE,ISSSTE,Crítica,Media,"19.486751,-99.133249"
2020-06-08,ALTA ESPECIALIDAD DE ZUMPANGO,EDOMEX,Crítica,Crítica,"19.815198,-99.089196"
2020-06-08,HOSPITAL REGIONAL TLALNEPANTLA ISSEMYM,EDOMEX,Media,Buena,"19.521706,-99.187341"
2020-06-08,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,Media,Media,"19.594136,-99.018679"
2020-06-08,"HOSPITAL GENERAL DE NAUCALPAN ""DR. MAXIMILIANO RUIZ CASTAÑEDA""",EDOMEX,Media,Media,"19.468662,-99.234348"
2020-06-08,"HOSPITAL GENERAL DE IXTAPALUCA ""PEDRO LOPEZ""",EDOMEX,Buena,Buena,"19.318829,-98.855366"
2020-06-08,"HOSPITAL GENERAL TEXCOCO ""GUADALUPE VICTORIA"" BICENTENARIO",EDOMEX,Media,Media,"19.514309,-98.87175"
2020-06-09,INSTITUTO NACIONAL DE NUTRICIÓN,SSA,Crítica,Crítica,"19.289599,-99.155441"
2020-06-09,HOSPITAL GENERAL DE MÉXICO,SSA,Media,Media,"19.4129258,-99.1520225"
2020-06-09,BELISARIO DOMINGUEZ,SEDESA,Media,Buena,"19.307226,-99.065356"
2020-06-09,GENERAL TLAHUAC,SEDESA,Buena,Buena,"19.287492,-99.052665"
2020-06-09,HOSPITAL GENERAL IZTAPALAPA,SEDESA,Buena,Buena,"19.343426,-99.027236"
2020-06-09,HOSPITAL GENERAL VILLA,SEDESA,Media,Buena,"19.480079,-99.103353"
